"category","index","accuracy"
"Model 9","4426","4"
"Model 9","6819","3"
"Model 9","3766","4"
"Model 10","13183","2"
"Model 10","5820","4"
"Actual","11435","4"
"Actual","1297","3"
"Actual","941","2"
"Model 9","6809","4"
"Actual","2979","4"
"Actual","135","2"
"Actual","7362","3"
"Actual","3267","3"
"Actual","10484","3"
"Actual","5977","1"
"Actual","899","1"
"Actual","7489","1"
"Model 9","5504","4"
"Model 9","1328","4"
"Model 10","2580","2"
"Model 9","6189","1"
"Actual","5012","4"
"Model 10","527","2"
"Model 10","1186","4"
"Model 10","1307","4"
"Actual","1305","2"
"Model 10","5199","4"
"Actual","2539","1"
"Model 10","13536","2"
"Model 10","9967","2"
"Model 10","4069","4"
"Model 10","2739","4"
"Model 9","6988","2"
"Actual","7087","4"
"Model 9","7291","4"
"Model 10","3506","2"
"Model 9","10694","3"
"Model 10","6702","1"
"Model 10","12246","2"
"Actual","13301","4"
"Model 10","1869","2"
"Model 9","10297","2"
"Model 10","3201","1"
"Model 9","10584","4"
"Model 9","7837","1"
"Model 9","12440","1"
"Model 10","5528","3"
"Actual","4485","2"
"Model 10","10786","4"
"Actual","2861","4"
"Model 10","81","2"
"Model 10","4015","2"
"Actual","4468","4"
"Actual","13443","4"
"Actual","8153","2"
"Actual","7814","1"
"Model 10","4413","2"
"Model 9","7539","3"
"Model 10","248","3"
"Model 10","4856","1"
"Model 9","924","1"
"Model 9","5124","4"
"Model 10","9691","1"
"Model 10","8249","3"
"Model 10","1715","2"
"Model 9","5363","1"
"Model 9","14704","1"
"Model 10","12011","4"
"Actual","9637","1"
"Model 10","13246","3"
"Model 9","12222","1"
"Model 10","13805","2"
"Model 9","8955","3"
"Actual","3946","3"
"Model 10","2430","4"
"Model 9","6863","1"
"Model 10","5281","4"
"Actual","8122","3"
"Actual","4828","3"
"Model 10","7101","1"
"Actual","11211","2"
"Actual","12959","2"
"Actual","11998","2"
"Actual","10207","2"
"Model 10","2359","2"
"Actual","12624","3"
"Model 9","6024","4"
"Model 9","9760","2"
"Actual","5526","3"
"Model 10","12222","2"
"Model 10","4729","2"
"Model 9","11103","2"
"Model 10","11475","4"
"Model 10","8564","4"
"Actual","490","4"
"Actual","9064","2"
"Model 9","14060","1"
"Model 10","6809","4"
"Actual","401","1"
"Actual","3899","1"
"Actual","2422","4"
"Model 9","5793","2"
"Model 9","14630","3"
"Model 10","6252","2"
"Model 10","1217","3"
"Actual","9348","3"
"Actual","9496","4"
"Actual","153","4"
"Model 9","478","4"
"Model 10","1852","1"
"Model 10","227","1"
"Model 10","10799","2"
"Actual","12260","2"
"Model 9","7252","1"
"Actual","1301","1"
"Model 9","10563","2"
"Model 10","13378","1"
"Actual","10775","1"
"Actual","13049","3"
"Actual","8867","1"
"Actual","3869","1"
"Actual","7435","4"
"Model 9","10613","1"
"Model 9","12849","1"
"Actual","9955","2"
"Actual","7624","3"
"Actual","13477","4"
"Model 9","4232","3"
"Actual","4771","4"
"Actual","2578","3"
"Actual","13198","4"
"Model 9","8808","4"
"Model 9","1074","3"
"Model 9","7976","2"
"Actual","5996","2"
"Model 10","1407","1"
"Model 9","2202","3"
"Model 10","10425","4"
"Model 10","7922","1"
"Actual","2336","3"
"Model 10","13817","4"
"Model 10","3674","2"
"Model 10","8906","3"
"Actual","6095","2"
"Model 9","10846","4"
"Model 10","106","2"
"Model 10","4021","3"
"Actual","4881","3"
"Model 10","1005","1"
"Model 9","7773","2"
"Actual","14669","4"
"Actual","6597","3"
"Actual","4461","2"
"Actual","7779","3"
"Model 9","5877","4"
"Model 9","8155","3"
"Model 10","4904","4"
"Model 10","14533","2"
"Model 9","2398","2"
"Model 9","12050","1"
"Model 9","5996","1"
"Model 10","12216","3"
"Actual","12431","4"
"Model 10","9180","2"
"Model 9","12284","1"
"Model 10","4126","2"
"Model 10","2014","4"
"Model 9","2247","4"
"Model 10","4140","3"
"Model 10","8024","1"
"Model 9","2442","4"
"Model 9","8588","1"
"Model 9","5181","3"
"Model 10","11678","2"
"Actual","10421","2"
"Model 10","11659","2"
"Actual","663","1"
"Model 9","8340","4"
"Model 9","85","2"
"Model 10","5646","4"
"Model 9","2917","3"
"Actual","6017","4"
"Model 9","9310","1"
"Model 10","11322","4"
"Actual","10560","2"
"Actual","12383","2"
"Actual","12367","1"
"Actual","161","1"
"Model 10","3209","4"
"Model 10","7252","1"
"Model 10","4779","4"
"Model 9","13807","4"
"Model 9","14721","3"
"Model 10","5176","4"
"Model 10","14379","3"
"Model 9","11147","1"
"Model 9","4399","2"
"Actual","8908","4"
"Model 9","5690","4"
"Model 9","2124","3"
"Model 9","629","3"
"Actual","1292","0"
"Actual","10064","4"
"Actual","10976","2"
"Model 10","10428","3"
"Model 10","13494","4"
"Model 10","5134","4"
"Model 9","8676","4"
"Model 10","4136","4"
"Model 10","12568","2"
"Actual","6005","3"
"Model 10","9439","4"
"Model 9","11655","2"
"Actual","5372","4"
"Model 10","63","3"
"Model 9","1401","4"
"Actual","5892","1"
"Model 10","14708","2"
"Model 10","3964","2"
"Model 9","6382","4"
"Model 9","12955","1"
"Actual","6798","1"
"Actual","2519","3"
"Model 10","1251","2"
"Model 10","2223","4"
"Actual","12097","3"
"Model 9","7191","2"
"Actual","14341","4"
"Model 9","7305","2"
"Actual","13378","2"
"Actual","1409","3"
"Model 9","9309","1"
"Model 10","4318","4"
"Model 9","7303","2"
"Actual","201","4"
"Model 10","14706","4"
"Model 10","324","3"
"Actual","8260","2"
"Model 9","4964","2"
"Actual","7296","0"
"Model 9","13577","2"
"Model 9","9175","4"
"Model 10","9571","4"
"Model 10","14255","4"
"Actual","9745","4"
"Model 9","8402","4"
"Model 10","2377","1"
"Actual","4904","2"
"Actual","14516","4"
"Model 9","8506","4"
"Model 10","1873","2"
"Model 9","1404","3"
"Model 10","11055","4"
"Model 10","11545","1"
"Model 10","3570","3"
"Actual","2430","3"
"Model 9","11508","3"
"Model 9","9112","2"
"Model 10","10553","2"
"Model 9","13099","4"
"Actual","5362","3"
"Actual","2591","3"
"Model 9","10519","4"
"Model 10","9270","2"
"Model 10","11574","2"
"Model 10","988","2"
"Model 10","4184","3"
"Model 10","13371","4"
"Model 9","7156","2"
"Actual","2391","4"
"Model 9","3370","3"
"Model 10","8367","4"
"Actual","5198","4"
"Model 10","12108","2"
"Model 9","12169","1"
"Model 9","3899","2"
"Model 9","14364","4"
"Actual","3856","4"
"Actual","5015","3"
"Actual","14926","1"
"Model 9","7873","4"
"Model 9","2655","2"
"Model 10","9751","4"
"Model 9","5064","4"
"Model 10","11134","1"
"Model 9","5581","4"
"Model 10","1161","4"
"Model 10","8831","1"
"Actual","6530","2"
"Model 9","8775","1"
"Model 10","7952","3"
"Model 9","7986","4"
"Model 9","13142","4"
"Actual","6819","3"
"Model 10","5585","4"
"Actual","2996","3"
"Model 10","10765","3"
"Model 9","11803","4"
"Model 9","4575","4"
"Model 10","4","1"
"Model 10","3765","2"
"Model 9","11418","4"
"Actual","14842","4"
"Model 10","7024","3"
"Model 10","6375","2"
"Model 9","5190","4"
"Actual","11215","1"
"Model 10","4108","1"
"Model 9","1910","2"
"Actual","1889","2"
"Model 9","5710","2"
"Actual","1380","4"
"Actual","6570","4"
"Model 9","13762","4"
"Model 9","14247","3"
"Actual","6616","2"
"Actual","11141","1"
"Model 9","13604","4"
"Actual","9488","4"
"Actual","11475","4"
"Model 9","6130","4"
"Model 10","6950","1"
"Model 9","619","2"
"Model 9","588","4"
"Model 10","13242","1"
"Actual","6573","0"
"Model 10","2028","4"
"Model 10","2027","4"
"Model 10","8132","1"
"Actual","2741","2"
"Model 9","11496","4"
"Model 9","14434","3"
"Model 9","881","1"
"Actual","13723","2"
"Model 9","14439","1"
"Actual","11352","3"
"Model 9","185","4"
"Actual","8540","1"
"Model 10","2802","1"
"Model 9","7242","2"
"Actual","128","4"
"Model 10","10421","2"
"Model 9","3249","4"
"Actual","2711","1"
"Model 10","11674","4"
"Model 9","3011","1"
"Actual","13517","4"
"Actual","12613","3"
"Actual","4352","3"
"Model 9","7087","4"
"Actual","7930","2"
"Model 10","11166","1"
"Model 10","1480","4"
"Model 10","5273","1"
"Model 9","11501","3"
"Model 9","2255","2"
"Actual","8177","0"
"Actual","1574","3"
"Actual","8440","2"
"Model 10","9176","2"
"Actual","185","4"
"Model 9","1740","1"
"Model 9","2114","2"
"Model 10","6282","4"
"Actual","12572","1"
"Model 9","822","3"
"Actual","11640","4"
"Model 9","9738","4"
"Model 9","1260","4"
"Actual","9500","4"
"Model 9","5264","3"
"Actual","5814","2"
"Model 9","5245","4"
"Model 9","5393","2"
"Model 9","12266","3"
"Model 9","8267","2"
"Model 9","3929","2"
"Model 9","10184","2"
"Model 10","10152","1"
"Model 9","574","1"
"Actual","12073","3"
"Model 9","3675","3"
"Model 10","7580","2"
"Model 10","9069","4"
"Actual","12987","3"
"Actual","14106","3"
"Actual","1902","2"
"Model 10","1604","4"
"Model 10","8790","4"
"Model 9","5287","3"
"Actual","7979","3"
"Model 10","13081","2"
"Model 10","1030","4"
"Model 9","6469","4"
"Model 10","11091","2"
"Model 10","9591","4"
"Actual","3600","4"
"Model 10","10133","2"
"Model 10","2951","1"
"Model 9","8149","1"
"Actual","12112","3"
"Actual","10250","1"
"Model 10","2666","4"
"Model 10","2030","4"
"Model 10","2937","2"
"Model 10","362","3"
"Actual","2797","1"
"Model 10","3039","2"
"Model 9","6000","2"
"Model 9","13693","4"
"Actual","13591","2"
"Model 9","11059","4"
"Actual","4893","4"
"Model 10","13612","4"
"Model 9","1153","2"
"Model 10","7878","4"
"Actual","9005","4"
"Model 9","9921","2"
"Model 10","14200","1"
"Model 10","2001","3"
"Model 9","3674","1"
"Model 9","8910","2"
"Model 9","2675","1"
"Actual","4479","1"
"Model 10","14060","1"
"Actual","10493","2"
"Model 9","6034","4"
"Actual","6399","3"
"Model 10","13551","3"
"Model 9","14381","2"
"Actual","6320","4"
"Model 9","13310","3"
"Actual","4607","4"
"Model 9","13546","1"
"Model 10","717","4"
"Model 9","8244","2"
"Actual","4311","1"
"Model 9","1873","2"
"Actual","7667","3"
"Model 9","11699","4"
"Actual","9970","2"
"Model 9","9916","4"
"Model 10","115","2"
"Actual","14672","1"
"Actual","8906","3"
"Model 9","11624","4"
"Model 9","6914","1"
"Model 9","11182","2"
"Actual","8962","3"
"Actual","7387","1"
"Actual","282","3"
"Model 9","998","3"
"Actual","6795","2"
"Model 9","6968","3"
"Actual","9729","4"
"Model 10","867","4"
"Model 9","6731","3"
"Model 9","7083","4"
"Actual","6252","4"
"Actual","12712","2"
"Actual","12226","1"
"Model 10","11318","4"
"Model 9","13467","2"
"Model 9","2012","1"
"Model 10","112","4"
"Model 9","4203","3"
"Model 9","13567","4"
"Actual","1941","2"
"Model 9","11010","1"
"Actual","3928","3"
"Actual","12926","4"
"Actual","11051","2"
"Actual","74","2"
"Model 10","14445","1"
"Model 9","14786","4"
"Model 10","8928","4"
"Model 10","10803","2"
"Actual","7612","2"
"Actual","13938","2"
"Model 9","4815","2"
"Actual","5930","3"
"Actual","6635","1"
"Model 10","12158","4"
"Model 10","9692","2"
"Model 10","9464","3"
"Model 9","12005","4"
"Model 9","3979","2"
"Model 9","14243","3"
"Actual","3249","2"
"Model 10","11531","2"
"Model 9","2264","2"
"Model 10","9136","2"
"Actual","1830","4"
"Model 9","7175","4"
"Model 10","3565","2"
"Model 10","11876","2"
"Actual","11857","4"
"Model 9","5339","4"
"Actual","7003","2"
"Model 10","8779","1"
"Model 9","14583","2"
"Actual","14630","3"
"Model 10","10613","1"
"Model 9","5854","4"
"Model 10","6203","3"
"Actual","13774","4"
"Model 9","7301","3"
"Model 9","22","4"
"Model 9","12592","3"
"Model 10","2701","1"
"Model 10","11450","1"
"Model 10","2403","2"
"Model 9","14501","2"
"Model 10","3731","1"
"Model 9","11961","2"
"Model 10","14726","4"
"Model 10","5408","4"
"Model 10","8231","4"
"Model 9","2730","4"
"Actual","13678","3"
"Model 10","10859","2"
"Actual","8782","3"
"Model 9","9791","3"
"Model 9","7860","1"
"Actual","14226","1"
"Actual","13111","1"
"Actual","619","2"
"Model 10","7477","4"
"Model 10","8286","1"
"Model 9","14449","2"
"Model 9","7142","4"
"Model 10","13591","1"
"Model 10","8155","3"
"Model 9","10133","4"
"Model 10","7388","4"
"Model 9","5481","4"
"Model 9","5955","2"
"Model 10","7122","2"
"Model 9","11088","2"
"Model 9","14725","1"
"Model 10","3071","4"
"Actual","4287","1"
"Model 9","8276","2"
"Model 9","12737","2"
"Model 10","6741","4"
"Actual","10601","1"
"Model 10","14516","4"
"Actual","4721","4"
"Model 10","573","4"
"Model 9","580","2"
"Actual","8695","1"
"Model 10","7505","4"
"Model 10","5435","3"
"Model 10","11869","4"
"Actual","10599","4"
"Actual","10710","1"
"Model 9","13042","4"
"Model 10","11449","4"
"Model 9","12593","2"
"Model 9","4170","1"
"Model 10","6458","1"
"Model 9","4445","3"
"Actual","2973","3"
"Model 10","1949","3"
"Model 9","7322","4"
"Model 10","4730","4"
"Model 9","6249","2"
"Model 10","11157","2"
"Model 10","1326","2"
"Model 9","11746","2"
"Model 10","10623","3"
"Model 9","7555","2"
"Model 9","288","2"
"Model 10","6381","4"
"Actual","535","2"
"Actual","8089","3"
"Actual","9820","4"
"Model 10","941","2"
"Model 9","7158","4"
"Actual","4663","4"
"Actual","7242","2"
"Actual","79","3"
"Actual","3305","2"
"Model 10","12077","4"
"Model 9","6611","3"
"Model 10","9880","2"
"Actual","11023","3"
"Model 9","6354","2"
"Model 10","11842","3"
"Actual","7890","3"
"Model 10","4908","1"
"Actual","10329","1"
"Model 9","3405","1"
"Model 9","13688","4"
"Model 10","1038","1"
"Model 10","8741","1"
"Model 9","14594","4"
"Model 10","1910","2"
"Model 9","12610","4"
"Actual","11962","4"
"Model 9","7374","4"
"Model 9","1626","2"
"Model 10","9492","2"
"Model 9","4730","4"
"Model 9","3111","1"
"Model 10","1953","2"
"Model 10","9685","4"
"Actual","10409","3"
"Actual","13592","1"
"Actual","6662","4"
"Model 9","1990","1"
"Actual","12174","3"
"Actual","13902","2"
"Actual","12849","3"
"Model 9","12108","2"
"Model 10","5930","1"
"Model 9","12350","4"
"Actual","4226","1"
"Model 10","7378","3"
"Model 10","6624","4"
"Actual","10228","2"
"Model 9","9978","4"
"Model 10","3631","1"
"Actual","6215","3"
"Actual","4522","2"
"Model 10","8440","1"
"Actual","14223","1"
"Model 9","7624","3"
"Actual","10776","4"
"Model 9","8413","1"
"Model 9","11835","4"
"Model 10","13454","1"
"Actual","2018","1"
"Model 9","1365","3"
"Model 9","12608","2"
"Model 10","5483","2"
"Model 10","9137","1"
"Model 9","9985","2"
"Model 9","506","1"
"Actual","4494","2"
"Model 10","8621","4"
"Model 10","13773","4"
"Actual","12461","2"
"Actual","5155","2"
"Actual","8215","1"
"Model 9","5483","2"
"Model 10","1820","4"
"Model 9","13091","2"
"Model 9","3358","1"
"Actual","12824","3"
"Actual","2621","2"
"Model 9","11468","2"
"Actual","10757","1"
"Actual","10627","3"
"Model 10","14362","2"
"Actual","2917","1"
"Model 10","8421","2"
"Model 9","4702","4"
"Actual","13889","3"
"Model 10","6954","1"
"Model 9","689","3"
"Model 10","7466","4"
"Actual","14928","3"
"Actual","13156","1"
"Model 9","14624","4"
"Model 9","8693","4"
"Model 9","7479","3"
"Actual","4758","2"
"Actual","7123","4"
"Model 9","10730","4"
"Model 9","6992","4"
"Actual","3397","2"
"Model 10","5054","4"
"Model 9","9294","4"
"Model 10","12613","4"
"Model 9","2741","1"
"Model 9","5219","1"
"Actual","5655","4"
"Actual","7766","2"
"Actual","573","3"
"Actual","3985","4"
"Model 10","9815","4"
"Actual","14948","2"
"Actual","9843","4"
"Actual","9826","2"
"Model 10","6990","4"
"Model 9","9306","4"
"Actual","4579","4"
"Model 9","9348","4"
"Model 9","1409","4"
"Actual","7652","2"
"Model 9","14201","2"
"Model 9","4797","3"
"Model 10","3339","4"
"Model 9","11266","2"
"Model 10","1054","4"
"Actual","14256","4"
"Actual","12809","0"
"Actual","2643","2"
"Actual","13016","1"
"Model 9","11795","4"
"Actual","10428","0"
"Model 9","9203","2"
"Model 10","4107","2"
"Actual","7008","0"
"Model 9","5977","2"
"Actual","5112","1"
"Model 9","8274","1"
"Model 9","2164","2"
"Actual","9817","3"
"Model 10","9704","4"
"Model 10","9807","2"
"Actual","10528","3"
"Model 10","11235","2"
"Model 10","5184","3"
"Model 10","5644","1"
"Model 9","2857","4"
"Model 9","9726","1"
"Model 10","6651","4"
"Actual","8483","1"
"Model 10","6795","2"
"Actual","14778","2"
"Actual","4107","4"
"Model 10","13049","2"
"Model 9","10110","4"
"Actual","8581","4"
"Model 10","10535","3"
"Model 10","14079","3"
"Model 9","1548","2"
"Actual","9398","4"
"Model 10","11528","4"
"Model 9","5616","4"
"Model 9","5748","1"
"Actual","813","4"
"Model 9","14870","4"
"Model 9","6391","4"
"Model 9","10834","4"
"Model 9","11475","4"
"Actual","9868","2"
"Actual","12981","2"
"Actual","8143","1"
"Model 9","7652","4"
"Actual","3401","2"
"Model 9","6069","4"
"Model 10","396","3"
"Actual","1047","2"
"Actual","6990","4"
"Model 10","3015","1"
"Model 9","10505","4"
"Model 10","10210","4"
"Model 9","12177","4"
"Model 10","10325","2"
"Actual","8067","4"
"Actual","2811","3"
"Model 9","7485","2"
"Model 10","8402","4"
"Model 10","3492","3"
"Actual","12678","1"
"Actual","6238","3"
"Model 10","14466","1"
"Actual","7922","1"
"Actual","6433","2"
"Model 9","2643","3"
"Model 9","10243","4"
"Model 9","5636","4"
"Model 9","5721","2"
"Actual","4140","2"
"Model 9","3191","4"
"Model 9","3765","2"
"Model 9","11646","4"
"Model 9","13090","1"
"Model 10","2262","4"
"Model 9","7364","4"
"Model 9","7916","1"
"Model 10","5441","4"
"Model 10","4426","2"
"Actual","13690","3"
"Model 9","8763","4"
"Model 10","8378","4"
"Model 10","7390","4"
"Actual","8447","2"
"Actual","10907","4"
"Actual","9191","3"
"Actual","7466","2"
"Actual","2202","3"
"Model 9","9685","2"
"Model 9","2951","1"
"Actual","3312","1"
"Model 9","2958","4"
"Model 10","13947","4"
"Actual","8621","3"
"Actual","4954","4"
"Actual","14552","4"
"Actual","3325","1"
"Model 10","804","2"
"Model 10","8076","3"
"Model 9","6907","4"
"Actual","14123","0"
"Model 9","1749","2"
"Model 9","7998","3"
"Model 10","7","3"
"Model 9","4015","2"
"Model 10","6500","4"
"Model 9","8749","1"
"Model 9","7266","4"
"Actual","8899","2"
"Model 10","6611","3"
"Model 9","1955","2"
"Model 10","2973","2"
"Actual","1161","1"
"Actual","1732","1"
"Actual","11287","3"
"Model 9","11244","2"
"Actual","5387","4"
"Actual","3616","4"
"Actual","4473","1"
"Model 10","2123","4"
"Model 9","8730","4"
"Model 10","2016","2"
"Model 9","11415","3"
"Model 10","14011","3"
"Model 10","4434","1"
"Model 10","9627","3"
"Actual","4038","4"
"Actual","9215","3"
"Model 10","4365","4"
"Actual","306","1"
"Model 10","11191","1"
"Model 10","4553","4"
"Model 10","4873","2"
"Actual","7210","2"
"Model 10","7985","1"
"Actual","687","2"
"Model 9","9506","2"
"Model 10","14247","3"
"Model 9","5037","1"
"Model 10","4607","3"
"Model 9","7597","3"
"Model 9","13775","4"
"Actual","13042","2"
"Actual","9051","1"
"Model 9","9734","4"
"Actual","9010","4"
"Actual","5871","4"
"Model 10","12978","3"
"Model 9","13655","4"
"Actual","8387","4"
"Actual","6375","2"
"Model 10","13751","4"
"Model 10","5350","1"
"Model 10","10905","4"
"Model 9","2647","1"
"Model 9","2385","2"
"Model 10","13449","3"
"Actual","12515","4"
"Model 10","1300","4"
"Actual","14665","4"
"Model 10","12346","1"
"Actual","2981","1"
"Model 10","12619","1"
"Model 9","12972","1"
"Model 10","11047","2"
"Model 10","3618","4"
"Model 10","6096","2"
"Model 9","7457","0"
"Model 10","13260","4"
"Actual","10189","2"
"Model 9","9691","1"
"Actual","11711","1"
"Model 10","14517","4"
"Actual","2030","4"
"Model 10","10365","2"
"Model 10","1289","3"
"Model 10","10810","1"
"Actual","10650","3"
"Model 10","10467","3"
"Model 10","7489","1"
"Model 10","10054","4"
"Actual","13535","0"
"Model 9","10365","1"
"Model 10","2356","3"
"Actual","297","1"
"Model 10","1454","2"
"Actual","9679","1"
"Model 10","13615","4"
"Actual","11421","3"
"Actual","5483","4"
"Actual","5090","4"
"Actual","11594","4"
"Model 10","13703","2"
"Actual","685","4"
"Actual","14726","4"
"Actual","7841","2"
"Actual","8992","4"
"Model 9","9737","3"
"Model 9","4819","2"
"Model 10","1260","3"
"Model 9","6702","1"
"Actual","14276","4"
"Model 10","13688","4"
"Actual","2364","1"
"Model 10","8636","4"
"Actual","3493","2"
"Actual","4015","3"
"Actual","14021","2"
"Actual","8174","4"
"Actual","5037","2"
"Actual","3785","4"
"Model 10","9957","4"
"Model 9","4920","3"
"Model 10","13503","2"
"Model 9","8919","4"
"Actual","115","1"
"Model 9","2861","4"
"Model 9","1685","4"
"Model 9","1937","4"
"Actual","3532","2"
"Actual","2209","4"
"Actual","5633","3"
"Actual","5616","4"
"Model 9","2731","1"
"Actual","13913","3"
"Actual","14781","2"
"Model 9","589","4"
"Model 10","9284","1"
"Model 10","7191","2"
"Model 10","14690","3"
"Model 10","12846","2"
"Model 9","28","1"
"Actual","4181","2"
"Actual","4156","1"
"Actual","1966","2"
"Actual","9680","1"
"Model 9","4013","4"
"Model 9","7370","3"
"Model 10","13024","2"
"Model 9","3461","4"
"Model 9","3373","4"
"Actual","10324","0"
"Model 9","7827","4"
"Actual","1729","4"
"Model 9","1332","4"
"Model 9","12614","3"
"Model 9","14800","4"
"Model 9","3582","4"
"Actual","4258","2"
"Actual","6920","4"
"Model 9","1292","2"
"Model 9","9177","1"
"Model 10","14519","2"
"Actual","3423","4"
"Model 10","1729","4"
"Model 10","9368","1"
"Model 9","12341","3"
"Actual","6197","3"
"Actual","13817","4"
"Model 10","6098","2"
"Model 10","3899","4"
"Model 10","8506","4"
"Actual","9084","3"
"Model 10","12631","1"
"Actual","1505","4"
"Actual","13293","2"
"Actual","1113","3"
"Model 10","1899","2"
"Model 9","5652","2"
"Model 9","10493","2"
"Model 9","9547","1"
"Actual","8474","4"
"Model 10","5792","2"
"Model 9","13822","4"
"Actual","32","4"
"Model 10","10447","4"
"Model 9","12606","3"
"Model 9","10215","1"
"Model 9","2011","1"
"Model 10","14314","1"
"Model 9","659","1"
"Actual","3322","4"
"Actual","11803","3"
"Model 10","2593","3"
"Model 9","2506","2"
"Actual","5969","4"
"Actual","11043","2"
"Model 10","10452","4"
"Model 9","10643","2"
"Model 10","13789","2"
"Actual","6729","4"
"Model 10","6111","2"
"Model 9","6999","3"
"Model 10","2072","4"
"Model 9","13429","4"
"Actual","14098","1"
"Model 9","4837","2"
"Model 9","9313","3"
"Model 9","13715","3"
"Model 9","6466","2"
"Model 10","10920","1"
"Actual","12358","2"
"Model 10","1074","3"
"Model 9","12399","3"
"Model 10","3423","4"
"Model 10","7775","4"
"Model 10","3357","4"
"Model 10","3000","2"
"Actual","7319","4"
"Model 9","9249","2"
"Model 10","5015","1"
"Model 10","7242","2"
"Model 9","639","1"
"Model 9","8779","1"
"Model 9","14225","2"
"Model 9","10457","3"
"Model 9","12473","2"
"Actual","3019","3"
"Actual","4111","4"
"Model 9","3532","1"
"Model 9","13773","4"
"Model 9","14276","4"
"Model 9","12581","1"
"Actual","1685","4"
"Model 9","10008","4"
"Model 10","13451","3"
"Model 10","3836","4"
"Actual","7040","4"
"Model 10","9370","2"
"Model 10","2800","3"
"Actual","7298","2"
"Model 10","943","1"
"Model 9","4126","2"
"Model 10","10375","4"
"Model 9","5131","1"
"Model 10","10108","3"
"Model 9","161","3"
"Model 9","9971","1"
"Model 9","7350","1"
"Actual","1858","4"
"Model 10","8730","4"
"Model 9","4873","4"
"Model 9","6680","2"
"Model 9","9885","3"
"Model 10","11554","2"
"Actual","8534","3"
"Actual","7137","2"
"Actual","6914","1"
"Model 10","12341","2"
"Model 9","12324","1"
"Model 9","14656","3"
"Actual","851","1"
"Model 10","9051","2"
"Actual","9605","2"
"Model 10","7202","4"
"Actual","9938","4"
"Actual","4106","2"
"Actual","4076","1"
"Actual","5053","1"
"Actual","9372","3"
"Model 10","1269","4"
"Model 10","862","2"
"Actual","2515","3"
"Model 9","11593","1"
"Actual","9489","4"
"Actual","3315","3"
"Actual","335","2"
"Model 10","2578","2"
"Model 9","3397","4"
"Model 9","92","4"
"Actual","717","4"
"Model 9","4116","4"
"Model 9","13596","4"
"Actual","9880","4"
"Model 9","4248","3"
"Actual","11427","3"
"Model 10","7059","1"
"Model 9","5619","2"
"Model 10","11222","2"
"Model 9","1023","3"
"Model 9","9377","1"
"Model 9","9489","1"
"Actual","2785","1"
"Model 10","14941","4"
"Model 9","9711","2"
"Model 9","8959","2"
"Model 10","9769","2"
"Actual","14240","3"
"Model 10","9417","4"
"Model 9","5258","4"
"Model 10","5067","2"
"Model 9","8325","1"
"Model 9","8755","4"
"Actual","5264","3"
"Model 10","8363","4"
"Model 10","1522","4"
"Model 10","9915","4"
"Actual","7107","2"
"Model 9","1297","4"
"Model 9","6134","4"
"Model 9","368","2"
"Actual","11747","2"
"Model 9","4721","4"
"Model 9","6729","2"
"Model 10","3057","2"
"Model 9","6490","2"
"Model 9","2072","2"
"Model 9","10699","2"
"Model 9","11235","2"
"Model 10","12273","4"
"Model 9","685","4"
"Actual","7697","3"
"Actual","5345","4"
"Model 9","8513","4"
"Model 10","1120","4"
"Model 10","3564","2"
"Actual","2790","3"
"Model 9","6499","2"
"Model 9","14941","4"
"Actual","2001","3"
"Actual","14650","3"
"Model 10","3176","3"
"Model 9","10810","1"
"Actual","2661","2"
"Model 9","13236","1"
"Model 9","10304","1"
"Actual","2359","2"
"Model 10","2000","4"
"Actual","1806","2"
"Model 10","2336","1"
"Actual","10447","2"
"Model 10","286","3"
"Model 10","13780","1"
"Actual","478","4"
"Model 10","11570","3"
"Model 10","9878","3"
"Model 10","11259","3"
"Actual","13091","2"
"Actual","4282","1"
"Actual","2285","4"
"Model 10","10347","1"
"Model 9","2308","2"
"Actual","5504","4"
"Actual","617","2"
"Model 10","7048","4"
"Model 10","11437","2"
"Model 9","2052","2"
"Model 10","7087","4"
"Model 10","12478","2"
"Model 9","3593","2"
"Model 10","5556","1"
"Actual","8402","4"
"Model 9","14180","4"
"Actual","9150","3"
"Model 10","4188","2"
"Model 9","7934","2"
"Actual","10032","2"
"Model 10","9508","2"
"Model 10","2711","1"
"Model 10","13956","1"
"Actual","13762","4"
"Model 9","14517","4"
"Actual","3499","3"
"Model 10","11867","2"
"Actual","1937","3"
"Model 9","6933","4"
"Model 10","14446","2"
"Model 9","220","1"
"Model 10","11315","4"
"Model 9","13312","4"
"Actual","11166","4"
"Actual","9481","1"
"Model 10","11088","2"
"Model 9","4089","4"
"Model 10","13683","3"
"Actual","5837","4"
"Model 10","12579","2"
"Model 9","3618","4"
"Model 9","847","4"
"Actual","11185","2"
"Actual","10179","3"
"Model 9","13514","4"
"Model 9","12065","2"
"Model 10","14462","2"
"Model 9","2869","2"
"Model 9","10729","3"
"Model 9","8977","1"
"Model 9","13399","2"
"Actual","4523","3"
"Model 9","8477","2"
"Model 9","12170","2"
"Actual","6372","4"
"Actual","8329","1"
"Model 9","3493","2"
"Actual","1005","2"
"Model 9","4511","3"
"Model 9","12959","2"
"Model 10","8174","3"
"Model 9","2996","1"
"Model 9","7501","3"
"Model 10","3697","3"
"Actual","13797","3"
"Actual","9668","3"
"Model 9","14223","2"
"Model 10","12910","3"
"Model 9","8737","4"
"Model 9","13139","4"
"Actual","11133","2"
"Actual","384","1"
